timestamp,hour_of_day,day_of_week,cpu_usage,memory_usage,disk_usage,connections,queries_per_second,slow_queries,cpu_lag_1,cpu_lag_2,memory_lag_1,memory_lag_2
2026-04-12 20:59:17.235340,0,0,20.0,26.0,20.0,70,175.0,0,20.0,20.0,26.0,26.0
2026-04-12 21:29:17.235376,0,0,20.0,26.0,20.0,70,175.0,0,20.0,20.0,26.0,26.0
2026-04-12 21:59:17.235385,1,0,20.416666666666668,26.333333333333336,20.208333333333332,70,177.08333333333337,0,20.0,20.0,26.0,26.0
2026-04-12 22:29:17.235391,1,0,20.416666666666668,26.333333333333336,20.208333333333332,70,177.08333333333337,0,20.416666666666668,20.0,26.333333333333336,26.0
2026-04-12 22:59:17.235396,2,0,20.833333333333332,26.666666666666668,20.416666666666668,71,179.16666666666663,0,20.416666666666668,20.416666666666668,26.333333333333336,26.333333333333336
2026-04-12 23:29:17.235401,2,0,20.833333333333332,26.666666666666668,20.416666666666668,71,179.16666666666663,0,20.833333333333332,20.416666666666668,26.666666666666668,26.333333333333336
2026-04-12 23:59:17.235406,3,0,21.25,27.0,20.625,72,181.25,0,20.833333333333332,20.833333333333332,26.666666666666668,26.666666666666668
2026-04-13 00:29:17.235411,3,0,21.25,27.0,20.625,72,181.25,0,21.25,20.833333333333332,27.0,26.666666666666668
2026-04-13 00:59:17.235424,4,0,21.666666666666668,27.333333333333336,20.833333333333332,73,183.33333333333337,0,21.25,21.25,27.0,27.0
2026-04-13 01:29:17.235428,4,0,21.666666666666668,27.333333333333336,20.833333333333332,73,183.33333333333337,0,21.666666666666668,21.25,27.333333333333336,27.0
2026-04-13 01:59:17.235432,5,0,22.083333333333332,27.666666666666668,21.041666666666668,74,185.41666666666663,0,21.666666666666668,21.666666666666668,27.333333333333336,27.333333333333336
2026-04-13 02:29:17.235436,5,0,22.083333333333332,27.666666666666668,21.041666666666668,74,185.41666666666663,0,22.083333333333332,21.666666666666668,27.666666666666668,27.333333333333336
2026-04-13 02:59:17.235440,6,0,22.5,28.0,21.25,75,187.5,0,22.083333333333332,22.083333333333332,27.666666666666668,27.666666666666668
2026-04-13 03:29:17.235444,6,0,22.5,28.0,21.25,75,187.5,0,22.5,22.083333333333332,28.0,27.666666666666668
2026-04-13 03:59:17.235448,7,0,22.916666666666668,28.333333333333336,21.458333333333332,75,189.58333333333337,0,22.5,22.5,28.0,28.0
2026-04-13 04:29:17.235453,7,0,22.916666666666668,28.333333333333336,21.458333333333332,75,189.58333333333337,0,22.916666666666668,22.5,28.333333333333336,28.0
2026-04-13 04:59:17.235457,8,0,23.333333333333332,28.666666666666668,21.666666666666668,76,191.66666666666663,0,22.916666666666668,22.916666666666668,28.333333333333336,28.333333333333336
2026-04-13 05:29:17.235462,8,0,23.333333333333332,28.666666666666668,21.666666666666668,76,191.66666666666663,0,23.333333333333332,22.916666666666668,28.666666666666668,28.333333333333336
2026-04-13 05:59:17.235475,9,0,35.0,38.0,21.875,100,250.0,0,23.333333333333332,23.333333333333332,28.666666666666668,28.666666666666668
2026-04-13 06:29:17.235480,9,0,35.0,38.0,21.875,100,250.0,0,35.0,23.333333333333332,38.0,28.666666666666668
2026-04-13 06:59:17.235485,10,0,38.0,40.400000000000006,22.083333333333332,106,265.0,0,35.0,35.0,38.0,38.0
2026-04-13 07:29:17.235489,10,0,38.0,40.400000000000006,22.083333333333332,106,265.0,0,38.0,35.0,40.400000000000006,38.0
2026-04-13 07:59:17.235494,11,0,41.0,42.800000000000004,22.291666666666668,112,280.0,0,38.0,38.0,40.400000000000006,40.400000000000006
2026-04-13 08:29:17.235498,11,0,41.0,42.800000000000004,22.291666666666668,112,280.0,0,41.0,38.0,42.800000000000004,40.400000000000006
2026-04-13 08:59:17.235503,12,0,44.0,45.2,22.5,118,295.0,0,41.0,41.0,42.800000000000004,42.800000000000004
2026-04-13 09:29:17.235507,12,0,44.0,45.2,22.5,118,295.0,0,44.0,41.0,45.2,42.800000000000004
2026-04-13 09:59:17.235511,13,0,47.0,47.6,22.708333333333332,124,310.0,0,44.0,44.0,45.2,45.2
2026-04-13 10:29:17.235519,13,0,47.0,47.6,22.708333333333332,124,310.0,0,47.0,44.0,47.6,45.2
2026-04-13 10:59:17.235526,14,0,50.0,50.0,22.916666666666668,130,325.0,1,47.0,47.0,47.6,47.6
2026-04-13 11:29:17.235529,14,0,50.0,50.0,22.916666666666668,130,325.0,1,50.0,47.0,50.0,47.6
2026-04-13 11:59:17.235532,15,0,53.0,52.400000000000006,23.125,136,340.0,1,50.0,50.0,50.0,50.0
2026-04-13 12:29:17.235534,15,0,53.0,52.400000000000006,23.125,136,340.0,1,53.0,50.0,52.400000000000006,50.0
2026-04-13 12:59:17.235537,16,0,56.0,54.800000000000004,23.333333333333332,142,355.0,1,53.0,53.0,52.400000000000006,52.400000000000006
2026-04-13 13:29:17.235540,16,0,56.0,54.800000000000004,23.333333333333332,142,355.0,1,56.0,53.0,54.800000000000004,52.400000000000006
2026-04-13 13:59:17.235542,17,0,59.0,57.2,23.541666666666668,148,370.0,1,56.0,56.0,54.800000000000004,54.800000000000004
2026-04-13 14:29:17.235545,17,0,59.0,57.2,23.541666666666668,148,370.0,1,59.0,56.0,57.2,54.800000000000004
2026-04-13 14:59:17.235548,18,0,27.5,32.0,23.75,85,212.5,0,59.0,59.0,57.2,57.2
2026-04-13 15:29:17.235551,18,0,27.5,32.0,23.75,85,212.5,0,27.5,59.0,32.0,57.2
2026-04-13 15:59:17.235555,19,0,27.916666666666664,32.33333333333333,23.958333333333332,85,214.58333333333331,0,27.5,27.5,32.0,32.0
2026-04-13 16:29:17.235557,19,0,27.916666666666664,32.33333333333333,23.958333333333332,85,214.58333333333331,0,27.916666666666664,27.5,32.33333333333333,32.0
2026-04-13 16:59:17.235560,20,0,28.333333333333336,32.66666666666667,24.166666666666668,86,216.66666666666669,0,27.916666666666664,27.916666666666664,32.33333333333333,32.33333333333333
2026-04-13 17:29:17.235562,20,0,28.333333333333336,32.66666666666667,24.166666666666668,86,216.66666666666669,0,28.333333333333336,27.916666666666664,32.66666666666667,32.33333333333333
2026-04-13 17:59:17.235565,21,0,28.75,33.0,24.375,87,218.75,0,28.333333333333336,28.333333333333336,32.66666666666667,32.66666666666667
2026-04-13 18:29:17.235567,21,0,28.75,33.0,24.375,87,218.75,0,28.75,28.333333333333336,33.0,32.66666666666667
2026-04-13 18:59:17.235570,22,0,29.166666666666664,33.33333333333333,24.583333333333332,88,220.83333333333331,0,28.75,28.75,33.0,33.0
2026-04-13 19:29:17.235572,22,0,29.166666666666664,33.33333333333333,24.583333333333332,88,220.83333333333331,0,29.166666666666664,28.75,33.33333333333333,33.0
2026-04-13 19:59:17.235574,23,0,29.583333333333336,33.66666666666667,24.791666666666668,89,222.91666666666669,0,29.166666666666664,29.166666666666664,33.33333333333333,33.33333333333333
2026-04-13 20:29:17.235577,23,0,29.583333333333336,33.66666666666667,24.791666666666668,89,222.91666666666669,0,29.583333333333336,29.166666666666664,33.66666666666667,33.33333333333333
